No.,Player,0s,Table,SR,avg,4s,score,6s,50s,runs,100s
1,Shikhar DhawanDC,4.0,Most Ducks,,,,,,,,
2,Prithvi ShawDC,3.0,Most Ducks,,,,,,,,
3,Dinesh KarthikKKR,3.0,Most Ducks,,,,,,,,
1,Kieron PollardMI,,Best Strike Rate,191.42,,,,,,,
2,Jofra ArcherRR,,Best Strike Rate,179.36,,,,,,,
3,Hardik PandyaMI,,Best Strike Rate,178.98,,,,,,,
1,Deepak HoodaPBKS,,Best Batting Average,,101.0,,,,,,
2,Tom CurranRR,,Best Batting Average,,83.0,,,,,,
3,Wriddhiman SahaSRH,,Best Batting Average,,71.33,,,,,,
1,Shikhar DhawanDC,,Most 4S,,,67.0,,,,,
2,Suryakumar YadavMI,,Most 4S,,,61.0,,,,,
3,KL RahulPBKS,,Most 4S,,,58.0,,,,,
1,KL RahulPBKS,,Highest Individual Score,,,,132*,,,,
2,Ben StokesRR,,Highest Individual Score,,,,107*,,,,
3,Mayank AgarwalPBKS,,Highest Individual Score,,,,106,,,,
1,Ishan KishanMI,,Most 6S,,,,,30.0,,,
2,Sanju SamsonRR,,Most 6S,,,,,26.0,,,
3,Hardik PandyaMI,,Most 6S,,,,,25.0,,,
1,KL RahulPBKS,,Most Fifties,,,,,,5.0,,
2,AB de VilliersRCB,,Most Fifties,,,,,,5.0,,
3,Devdutt PadikkalRCB,,Most Fifties,,,,,,5.0,,
1,KL RahulPBKS,,Leading Run-Scorers,,,,,,,670.0,
2,Shikhar DhawanDC,,Leading Run-Scorers,,,,,,,618.0,
3,David WarnerSRH,,Leading Run-Scorers,,,,,,,548.0,
1,Shikhar DhawanDC,,Most Hundreds,,,,,,,,2.0
2,Ben StokesRR,,Most Hundreds,,,,,,,,1.0
3,Mayank AgarwalPBKS,,Most Hundreds,,,,,,,,1.0
