Match Info,Team 1,Team 2,Team 1 Score,Team 2 Score,Result
N/A,MI,CSK,162/9,166/5,N/A
N/A,DC,KXIP,157/8,157/8,N/A
N/A,RCB,SRH,163/5,153,N/A
N/A,RR,CSK,216/7,200/6,N/A
N/A,MI,KKR,195/5,146/9,N/A
N/A,KXIP,RCB,206/3,109,N/A
N/A,DC,CSK,175/3,131/7,N/A
N/A,SRH,KKR,142/4,145/3,N/A
N/A,KXIP,RR,223/2,226/6,N/A
N/A,RCB,MI,201/3,201/5,N/A
N/A,SRH,DC,162/4,147/7,N/A
N/A,KKR,RR,174/6,137/9,N/A
N/A,MI,KXIP,191/4,143/8,N/A
N/A,SRH,CSK,164/5,157/5,N/A
N/A,RR,RCB,154/6,158/2,N/A
N/A,DC,KKR,228/4,210/8,N/A
N/A,MI,SRH,208/5,174/7,N/A
N/A,KXIP,CSK,178/4,181/0,N/A
N/A,DC,RCB,196/4,137/9,N/A
N/A,MI,RR,193/4,136,N/A
N/A,KKR,CSK,167,157/5,N/A
N/A,SRH,KXIP,201/6,132,N/A
N/A,DC,RR,184/8,138,N/A
N/A,KKR,KXIP,164/6,162/5,N/A
N/A,RCB,CSK,169/4,132/8,N/A
N/A,SRH,RR,158/4,163/5,N/A
N/A,DC,MI,162/4,166/5,N/A
N/A,RCB,KKR,194/2,112/9,N/A
N/A,CSK,SRH,167/6,147/8,N/A
N/A,DC,RR,161/7,148/8,N/A
N/A,RCB,KXIP,171/6,177/2,N/A
N/A,KKR,MI,148/5,149/2,N/A
N/A,RR,RCB,177/6,179/3,N/A
N/A,CSK,DC,179/4,185/5,N/A
N/A,KKR,SRH,163/5,163/6,N/A
N/A,MI,KXIP,176/6,176/6,N/A
N/A,CSK,RR,125/5,126/3,N/A
N/A,DC,KXIP,164/5,167/5,N/A
N/A,KKR,RCB,84/8,85/2,N/A
N/A,RR,SRH,154/6,156/2,N/A
N/A,CSK,MI,114/9,116/0,N/A
N/A,KKR,DC,194/6,135/9,N/A
N/A,KXIP,SRH,126/7,114,N/A
N/A,RCB,CSK,145/6,150/2,N/A
N/A,MI,RR,195/5,196/2,N/A
N/A,KKR,KXIP,149/9,150/2,N/A
N/A,SRH,DC,219/2,131,N/A
N/A,RCB,MI,164/6,166/5,N/A
N/A,KKR,CSK,172/5,178/4,N/A
N/A,KXIP,RR,185/4,186/3,N/A
N/A,DC,MI,110/9,111/1,N/A
N/A,RCB,SRH,120/7,121/5,N/A
N/A,KXIP,CSK,153/6,154/1,N/A
N/A,KKR,RR,191/7,131/9,N/A
N/A,RCB,DC,152/7,154/4,N/A
N/A,MI,SRH,149/8,151/0,N/A
N/A,MI,DC,200/5,143/8,N/A
N/A,RCB,SRH,131/7,132/4,N/A
N/A,DC,SRH,189/3,172/8,N/A
N/A,DC,MI,156/7,157/5,N/A
N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
