POS,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s
1,KL Rahul PBKS,670,14,14,2,132*,55.83,518,129.34,1.0,5.0,58.0,23.0
2,Shikhar Dhawan DC,618,17,17,3,106*,44.14,427,144.73,2.0,4.0,67.0,12.0
3,David Warner SRH,548,16,16,2,85*,39.14,407,134.64,0.0,4.0,52.0,14.0
4,Shreyas Iyer DC,519,17,17,2,88*,34.60,421,123.27,0.0,3.0,40.0,16.0
5,Ishan Kishan MI,516,14,13,4,99,57.33,354,145.76,0.0,4.0,36.0,30.0
6,Quinton de Kock MI,503,16,16,2,78*,35.92,358,140.50,0.0,4.0,46.0,22.0
7,Suryakumar Yadav MI,480,16,15,3,79*,40.00,331,145.01,0.0,4.0,61.0,11.0
8,Devdutt Padikkal RCB,473,15,15,0,74,31.53,379,124.80,0.0,5.0,51.0,8.0
9,Virat Kohli RCB,466,15,15,4,90*,42.36,384,121.35,0.0,3.0,23.0,11.0
10,AB de Villiers RCB,454,15,14,4,73*,45.40,286,158.74,0.0,5.0,33.0,23.0
11,Faf du Plessis CSK,449,13,13,2,87*,40.81,319,140.75,0.0,4.0,42.0,14.0
12,Shubman Gill KKR,440,14,14,1,70*,33.84,373,117.96,0.0,3.0,44.0,9.0
13,Manish Pandey SRH,425,16,15,2,83*,32.69,333,127.62,0.0,3.0,35.0,18.0
14,Mayank Agarwal PBKS,424,11,11,0,106,38.54,271,156.45,1.0,2.0,44.0,15.0
15,Eoin Morgan KKR,418,14,14,4,68*,41.80,302,138.41,0.0,1.0,32.0,24.0
16,Sanju Samson RR,375,14,14,1,85,28.84,236,158.89,0.0,3.0,21.0,26.0
17,Ambati Rayudu CSK,359,12,11,2,71,39.88,282,127.30,0.0,1.0,30.0,12.0
18,Nicholas Pooran PBKS,353,14,14,4,77,35.30,208,169.71,0.0,2.0,23.0,25.0
19,Nitish Rana KKR,352,14,14,0,87,25.14,254,138.58,0.0,3.0,43.0,12.0
20,Marcus Stoinis DC,352,17,17,3,65,25.14,237,148.52,0.0,3.0,31.0,16.0
POS,Player,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings,,,,
No data found. Please select any respective category.,,,,,,,,,,,,,
POS,Team,Matches,Average,Points,,,,,,,,,
No data found. Please select any respective category.,,,,,,,,,,,,,
Role,Batsman,Nationality,Indian,,,,,,,,,,
Bats,,Bowls,,,,,,,,,,,
,,,,,,,,,,,,,
Bio,,,,,,,,,,,,,
"A 22-year old opening batsman who hails from Pune, Ruturaj Gaikwad has been a consistent performer for his state team Maharashtra. He was the highest run-getter for Maharashtra in the league stage of the Syed Mushtaq Ali Trophy 2018-19. At the IPL 2019 Player Auction, the Chennai Super Kings secured his services at his base price of INR 20 lacs.",,,,,,,,,,,,,
1,KL Rahul PBKS,670,14,14,2,132*,55.83,518,129.34,1.0,5.0,58.0,23.0
2,Shikhar Dhawan DC,618,17,17,3,106*,44.14,427,144.73,2.0,4.0,67.0,12.0
3,David Warner SRH,548,16,16,2,85*,39.14,407,134.64,0.0,4.0,52.0,14.0
4,Shreyas Iyer DC,519,17,17,2,88*,34.60,421,123.27,0.0,3.0,40.0,16.0
5,Ishan Kishan MI,516,14,13,4,99,57.33,354,145.76,0.0,4.0,36.0,30.0
6,Quinton de Kock MI,503,16,16,2,78*,35.92,358,140.5,0.0,4.0,46.0,22.0
7,Suryakumar Yadav MI,480,16,15,3,79*,40.00,331,145.01,0.0,4.0,61.0,11.0
8,Devdutt Padikkal RCB,473,15,15,0,74,31.53,379,124.8,0.0,5.0,51.0,8.0
9,Virat Kohli RCB,466,15,15,4,90*,42.36,384,121.35,0.0,3.0,23.0,11.0
10,AB de Villiers RCB,454,15,14,4,73*,45.40,286,158.74,0.0,5.0,33.0,23.0
11,Faf du Plessis CSK,449,13,13,2,87*,40.81,319,140.75,0.0,4.0,42.0,14.0
12,Shubman Gill KKR,440,14,14,1,70*,33.84,373,117.96,0.0,3.0,44.0,9.0
13,Manish Pandey SRH,425,16,15,2,83*,32.69,333,127.62,0.0,3.0,35.0,18.0
14,Mayank Agarwal PBKS,424,11,11,0,106,38.54,271,156.45,1.0,2.0,44.0,15.0
15,Eoin Morgan KKR,418,14,14,4,68*,41.80,302,138.41,0.0,1.0,32.0,24.0
16,Sanju Samson RR,375,14,14,1,85,28.84,236,158.89,0.0,3.0,21.0,26.0
17,Ambati Rayudu CSK,359,12,11,2,71,39.88,282,127.3,0.0,1.0,30.0,12.0
18,Nicholas Pooran PBKS,353,14,14,4,77,35.30,208,169.71,0.0,2.0,23.0,25.0
19,Nitish Rana KKR,352,14,14,0,87,25.14,254,138.58,0.0,3.0,43.0,12.0
20,Marcus Stoinis DC,352,17,17,3,65,25.14,237,148.52,0.0,3.0,31.0,16.0
POS,Player,Pts,Wkts,Dots,4s,6s,Catches,Stumpings,,,,,
No data found. Please select any respective category.,,,,,,,,,,,,,
POS,Team,Matches,Average,Points,,,,,,,,,
No data found. Please select any respective category.,,,,,,,,,,,,,
Role,Batsman,Nationality,Indian,,,,,,,,,,
Bats,,Bowls,,,,,,,,,,,
,,,,,,,,,,,,,
Bio,,,,,,,,,,,,,
"A 22-year old opening batsman who hails from Pune, Ruturaj Gaikwad has been a consistent performer for his state team Maharashtra. He was the highest run-getter for Maharashtra in the league stage of the Syed Mushtaq Ali Trophy 2018-19. At the IPL 2019 Player Auction, the Chennai Super Kings secured his services at his base price of INR 20 lacs.",,,,,,,,,,,,,
