Player,Team,runs,sr,avg,4s,6s,50s,100s,0s,score
AB de Villiers,Royal Challengers Bangalore,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Ben Stokes,Rajasthan Royals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0
David Warner,Sunrisers Hyderabad,548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deepak Hooda,Kings XI Punjab,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0
Devdutt Padikkal,Royal Challengers Bangalore,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Dinesh Karthik,Kolkata Knight Riders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Hardik Pandya,Mumbai Indians,0.0,178.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishan Kishan,Mumbai Indians,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
Jofra Archer,Rajasthan Royals,0.0,179.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL Rahul,Kings XI Punjab,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0
Kieron Pollard,Mumbai Indians,0.0,191.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mayank Agarwal,Kings XI Punjab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0
Prithvi Shaw,Delhi Capitals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Sanju Samson,Rajasthan Royals,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0
Shikhar Dhawan,Delhi Capitals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Suryakumar Yadav,Mumbai Indians,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0
Tom Curran,Rajasthan Royals,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0
Wriddhiman Saha,Sunrisers Hyderabad,0.0,0.0,71.33,0.0,0.0,0.0,0.0,0.0,0.0
